q301,q302,q303_1,q303_10,q303_11,q303_2,q303_3,q303_4,q303_5,q303_6,q303_7,q303_8,q303_9,q308a,q308b,q308c,q308d,q308e,q309a,q309b,q316,q317,q318a,q320a,q320c,q320d,q321a,q321b,q321c,q321d,q321e,q321f,q322a,q322b,q322c,q322c_new,q322d_new,q322f,q324a,q324b,q324c,q324d,q325a,q325b,q325c,q325d,q325e_new,q325f_new,q326,q327a,q327c,q327d,q327e,q328b,q328d,q328e,q328f,q331a,q331b,q331c,q332a,q332b,q332c,q332e,q334A,q334B,q334C,q334D,q334E,q334F,q335,q401,q414A,q414B,q414C,q414D,q414E,q415a,q415b,q415c,q415d,q416,q417_a,q417_b,q417_c,q417_d,q417_e,q417a_1,q417a_2,q417a_3,q417a_4,q417a_5,q417a_6,q417a_7,q417a_8,q418a,q422a,q422b,q422c,q422d,q422e,q422f,q422g,q422h,q426_1,q426_2,q426_3,q426_4,q426_5,q427_a,q427_b,q427_c,q427_d,qapp_dtrmp,children,edloan,educ,employ,gender,hadjob,hispanic,ideo5,immstat,income,industryclass,investor,marstat,metro,newsint,ownhome,pew_bornagain,pew_churatd,pew_prayer,pew_religimp,pid3,pid7,race,religion,sexuality,trans,union,urbancity,votereg,age,health_ins,military,abbr,state,dem_agree,gop_agree,econ,social,inc3,st_type,fname,lname,loc,cutout
2,2,2,1,2,1,2,2,2,1,1,2,2,4,2,2,3,1,2,2,2,,0,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,5,7,6,7,5,7,3,5,1,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,4,1,3,2,1,1,4,1,1,1,3,2,3,3,4,3,1,1,2,2,2,2,,2,1,5,6,17,2,5,ATLANTA,3,2,1,2,3,1,1,1,2,1,1,2,3,2,2,18,medicaid,family_veteran,GA,Georgia,0.703125,0.34375,-0.2857142857142857,-0.4642857142857143,$$,red,Mary,Spears,a suburb of Atlanta,a
3,4,2,1,2,2,2,2,2,2,2,2,2,4,4,2,3,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,6,8,3,6,5,3,5,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,3,1,5,2,2,5,3,2,2,2,2,3,3,4,3,4,0,1,6,2,2,,2,3,5,9,19,1,5,ALBUQUERQUE-SANTA FE,1,1,2,2,1,1,1,1,1,1,2,2,3,2,1,56,purchased,family_veteran,NM,New Mexico,0.796875,0.1875,-0.3142857142857143,-0.7142857142857143,$$,purple,Mary,Hensley,a suburb of Albuquerque,k
3,3,2,2,1,2,2,2,2,2,2,2,2,4,4,4,5,5,1,1,1,2,0,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,8,7,1,7,6,1,5,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,5,1,5,2,3,5,2,2,2,2,2,2,3,4,5,4,2,2,5,1,2,,2,3,5,7,18,2,3,"\""WASHINGTON",2,2,2,6,3,3,3,3,1,11,1,2,3,2,1,44,employer,no,VA,Virginia,0.84375,0.21875,-0.5142857142857142,-0.6428571428571429,$$,purple,Catherine,Brennan,"a suburb of Washington, DC",j
4,3,2,2,1,2,2,2,2,2,2,2,2,4,4,4,3,3,1,4,1,2,0,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,2,7,7,2,7,6,1,5,1,1,1,1,2,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,5,4,5,3,2,,5,3,1,1,3,2,4,3,4,3,4,0,2,3,1,2,,2,2,5,5,10,2,5,"\""CHARLESTON",2,2,2,6,7,4,1,1,6,11,1,2,3,2,1,27,employer,no,SC,South Carolina,0.6349206349206349,0.36507936507936506,0,-0.6071428571428571,$$,red,Alexis,Preston,a suburb of Charleston,d
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,7,7,6,1,6,5,2,5,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,4,2,3,5,2,4,5,2,5,3,3,3,2,2,2,2,2,1,0,1,6,1,1,,2,5,5,9,22,2,1,DALLAS-FT. WORTH,1,2,1,2,8,2,2,7,1,1,1,2,3,2,1,32,employer,no,TX,Texas,0.15625,0.765625,0.5428571428571428,0.8214285714285714,$$,red,Ronald,Rogers,a suburb of Dallas,R
3,2,2,2,1,2,2,2,2,2,2,2,2,3,4,5,5,3,1,1,1,3,4,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,4,6,7,2,5,4,2,5,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,4,3,2,4,3,3,2,3,4,1,2,2,2,3,3,3,3,3,2,2,4,2,2,,2,3,4,3,19,1,4,GREENSBORO-H.POINT-W.SALEM,2,1,1,2,1,1,5,4,1,1,1,2,3,2,1,60,purchased,no,NC,North Carolina,0.453125,0.546875,-0.2571428571428571,0.2857142857142857,$,purple,Jessica,Branch,a suburb of Greensboro,h
2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,7,8,8,8,8,8,3,5,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,5,5,3,3,3,5,5,5,2,1,1,1,2,1,1,3,1,1,2,2,4,7,2,2,2,3,5,11,,1,1,PITTSBURGH,3,1,2,6,7,4,2,7,1,11,1,2,3,2,1,42,employer,no,PA,Pennsylvania,0.46875,0.375,0.3142857142857143,-0.03571428571428571,$$,purple,Sharon,Hail,a suburb of Pittsburgh,n
2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,1,1,1,1,0,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,6,1,6,1,6,5,2,5,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,4,5,2,3,1,2,3,2,3,1,2,1,1,4,3,5,5,1,3,2,2,1,1,,2,4,5,7,22,2,1,LOS ANGELES,2,2,1,3,1,2,3,5,3,11,1,2,1,1,1,59,employer,no,CA,California,0.296875,0.609375,0,0.6071428571428571,$$,blue,Richard,Duran,"Los Angeles, California",A
3,3,2,2,2,2,2,2,2,2,2,2,2,4,2,3,4,3,1,1,1,2,0,1,1,2,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,3,7,7,4,3,4,2,5,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,4,2,4,2,5,2,2,2,1,1,2,3,2,2,3,3,4,2,2,2,5,1,2,2,2,1,3,6,2,1,WEST PALM BEACH-FT. PIERCE,1,2,,6,1,1,1,1,2,2,1,2,,1,1,65,medicaid,veteran,FL,Florida,0.546875,0.5,-0.08571428571428572,0.2857142857142857,$,purple,Ryan,Vaughan,"West Palm Beach, Florida",Y
2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,5,2,1,1,1,2,0,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,8,6,2,7,6,2,5,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,4,2,2,4,1,1,5,3,3,2,2,3,1,2,3,3,3,0,2,3,8,2,1,2,2,5,9,21,2,5,ST. LOUIS,2,3,2,4,3,2,1,2,1,2,1,2,3,4,1,20,employer,family_veteran,MO,Missouri,0.71875,0.28125,-0.2571428571428571,-0.7857142857142857,$$,red,Ann,Houston,"St Louis, Missouri",b
